,lng,lat,MinMax_PCA_Crime_Labels,Robust_PCA_Crime_Labels,MinMax_PCA_Crimeless_Labels,Robust_PCA_Crimeless_Labels,MinMax_Non_PCA_Crime_Labels,Robust__Non_PCA_Crime_Labels,MinMax_Non_PCA_Crimeless_Labels,Robust__Non_PCA_Crimeless_Labels
5457,-0.250388595639956,51.4390729752386,0,1,2,1,0,1,2,1
5458,-0.261195348471139,51.4458216264022,0,1,2,1,0,1,2,1
5459,-0.261208326054375,51.4413225256265,0,1,2,1,0,1,2,1
5460,-0.264798308830611,51.4480711767901,0,1,2,1,0,1,2,1
5461,-0.257592742865598,51.4435720760144,0,1,2,1,0,1,2,1
5462,-0.261214813582673,51.4390729752386,0,1,2,1,0,1,2,1
5463,-0.264804621076105,51.4458216264022,0,1,2,1,0,1,2,1
5464,-0.253976803261207,51.4458216264022,0,1,2,1,0,1,2,1
5465,-0.257599408999635,51.4413225256265,0,1,2,1,0,1,2,1
5466,-0.261188858415913,51.4480711767901,0,1,2,1,0,1,2,1
5467,-0.253990491944895,51.4413225256265,0,1,2,1,0,1,2,1
5468,-0.261221300268949,51.4368234248507,0,1,2,1,0,1,2,1
5469,-0.261175875777516,51.4525702775659,0,1,2,1,0,1,2,1
5470,-0.253983648047284,51.4435720760144,0,1,2,1,0,1,2,1
5471,-0.264810932502228,51.4435720760144,0,1,2,1,0,1,2,1
5472,-0.261227786113351,51.4345738744628,0,1,2,1,0,1,2,1
5473,-0.254004177075335,51.4368234248507,0,1,2,1,0,1,2,1
5474,-0.246758258051275,51.4458216264022,0,1,2,1,0,1,2,1
5475,-0.246772657835414,51.4413225256265,0,1,2,1,0,1,2,1
5476,-0.355040169477623,51.4413225256265,0,1,2,1,0,1,2,1
5477,-0.300888278240755,51.450320727178,0,1,2,1,0,1,2,1
5478,-0.333392532205085,51.4368234248507,0,1,2,1,0,1,2,1
5479,-0.326142512072721,51.4593189287295,0,1,2,1,0,1,2,1
5480,-0.232226149395246,51.4728162310568,0,1,2,1,0,1,2,1
5481,-0.228606638589941,51.4750657814447,0,1,2,1,0,1,2,1
5482,-0.235845303020432,51.4705666806689,0,1,2,1,0,1,2,1
5483,-0.239456532802776,51.4705666806689,0,1,2,1,0,1,2,1
5484,-0.22500333370279,51.4728162310568,0,1,2,1,0,1,2,1
5485,-0.232234073238088,51.4705666806689,0,1,2,1,0,1,2,1
5486,-0.340630258585666,51.4188270217477,0,1,2,1,0,1,2,1
5487,-0.329802622464657,51.4233261225234,0,1,2,1,0,1,2,1
5488,-0.333427690590524,51.4098288201961,0,1,2,1,0,1,2,1
5489,-0.329811942948383,51.4165774713598,0,1,2,1,0,1,2,1
5490,-0.34063797926844,51.412078370584,0,1,2,1,0,1,2,1
5491,-0.333415977210945,51.4188270217477,0,1,2,1,0,1,2,1
5492,-0.337025869303128,51.4165774713598,0,1,2,1,0,1,2,1
5493,-0.333418906125755,51.4165774713598,0,1,2,1,0,1,2,1
5494,-0.322528702271138,51.4615684791174,0,1,2,1,0,1,2,1
5495,-0.322525231828648,51.4638180295053,0,1,2,1,0,1,2,1
5496,-0.318903588014344,51.4705666806689,0,1,2,1,0,1,2,1
5497,-0.318914536099225,51.4638180295053,0,1,2,1,0,1,2,1
5498,-0.318910887211516,51.4660675798932,0,1,2,1,0,1,2,1
5499,-0.326139220029152,51.4615684791174,0,1,2,1,0,1,2,1
5500,-0.311713161225416,51.4525702775659,0,1,2,1,0,1,2,1
5501,-0.293600489392434,51.4818144326083,0,1,2,1,0,1,2,1
5502,-0.300824730058613,51.4818144326083,0,1,2,1,0,1,2,1
5503,-0.289988369059344,51.4818144326083,0,1,2,1,0,1,2,1
5504,-0.304445579489441,51.4773153318326,0,1,2,1,0,1,2,1
5505,-0.333374932468393,51.450320727178,0,1,2,1,0,1,2,1
5506,-0.336981803949365,51.4525702775659,0,1,2,1,0,1,2,1
5507,-0.322539110895203,51.4548198279538,0,1,2,1,0,1,2,1
5508,-0.32615896588048,51.4480711767901,0,1,2,1,0,1,2,1
5509,-0.318943710150594,51.4458216264022,0,1,2,1,0,1,2,1
5510,-0.322556449595262,51.4435720760144,0,1,2,1,0,1,2,1
5511,-0.362274611544733,51.4165774713598,0,1,2,1,0,1,2,1
5512,-0.365880243397191,51.4188270217477,0,1,2,1,0,1,2,1
5513,-0.365881574722105,51.4165774713598,0,1,2,1,0,1,2,1
5514,-0.362271593679143,51.4210765721355,0,1,2,1,0,1,2,1
5515,-0.311689139763625,51.4660675798932,0,1,2,1,0,1,2,1
5516,-0.311705156150791,51.4570693783416,0,1,2,1,0,1,2,1
5517,-0.235798813251863,51.4840639829962,0,1,2,1,0,1,2,1
5518,-0.228557998726071,51.488563083772,0,1,2,1,0,1,2,1
5519,-0.329759078860043,51.4548198279538,0,1,2,1,0,1,2,1
5520,-0.326152385639101,51.4525702775659,0,1,2,1,0,1,2,1
5521,-0.32975596557337,51.4570693783416,0,1,2,1,0,1,2,1
5522,-0.113360005804719,51.4210156024421,1,1,1,2,2,1,0,2
5523,-0.131384845819193,51.4480102070966,2,1,1,2,1,1,0,2
5524,-0.0988998354623345,51.4480102070967,1,1,1,2,2,1,0,2
