,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573577194186946,51.3940002350395
68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0501365395746323,51.3984993358152
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136672274663891,51.3895011342637
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129462795052278,51.3895011342637
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122253315440666,51.3895011342637
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115043835829053,51.3895011342637
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107834356217441,51.3895011342637
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100624876605828,51.3895011342637
75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0862059173826035,51.3895011342637
76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0789964377709911,51.3895011342637
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717869581593786,51.3895011342637
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645774785477661,51.3895011342637
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573679989361536,51.3895011342637
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429490397129287,51.3895011342637
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501585193245412,51.3895011342637
82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0357395601013162,51.3895011342637
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129465984420067,51.385002033488
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115048442693637,51.385002033488
